Percentage,Location,Image 1 (outline),Image 2 (satellite)
16.693,Kadugudi,'83 Kadugudi outline.png','83 Kadugudi.png'
22.034,Hagadooru,'84 Hagadooru outline.png','84 Hagadooru.png'
16.324,Doddanekkundi,'85 Doddanekkundi outline.png','85 Doddanekkundi.png'
19.921,Marathalli,'86 Marathalli outline.png','86 Marathalli.png'
20.362,HAL,'87 HAL outline.png','87 HAL.png'
35.195,Jeevanbhima Nagar,'88 Jeevanbhima Nagar outline.png','88 Jeevanbhima Nagar.png'
54.92,Jogupalya,'89 Jogupalya outline.png','89 Jogupalya.png'
4.985,Vidyaranyapura,'9 Vidyaranyapura outline.png','9 Vidyaranyapura.png'
38.316,Ulsoor,'90 Ulsoor outline.png','90 Ulsoor.png'
3.083,Bharathi Nagar,'91 Bharathi Nagar outline.png','91 Bharathi Nagar.png'
26.955,Shivaji Nagar,'92 Shivaji Nagar outline.png','92 Shivaji Nagar.png'
46.188,Vasanth Nagar,'93 Vasanth Nagar outline.png','93 Vasanth Nagar.png'
16.512,Gandhi Nagar,'94 Gandhi Nagar outline.png','94 Gandhi Nagar.png'
28.239,Subhash Nagar,'95 Subhash Nagar outline.png','95 Subhash Nagar.png'
33.018,Okalipuram,'96 Okalipuram outline.png','96 Okalipuram.png'
32.069,Dayananda Nagar,'97 Dayananda Nagar outline.png','97 Dayananda Nagar.png'
20.413,Prakash Nagar,'98 Prakash Nagar outline.png','98 Prakash Nagar.png'
7.021,Rajaji Nagar,'99 Rajaji Nagar outline.png','99 Rajaji Nagar.png'
